"","means_OC","medians_OC","modes_OC","means_Clay","medians_Clay","modes_Clay"
"Artificial",19.719,17,18.279,136.19,110,58.341
"Bare land",20.988,12.6,11.817,231.275,230,217.176
"Cropland",15.468,14.2,11.817,222.05,210,184.716
"Forest",55.235,18.2,15.387,108.21,70,36.779
"Grassland",27.613,15.8,13.237,176.878,150,94.901
"Shrubland",41.765,16.55,13.622,177.09,160,82.864
"Water body",15.133,14.65,12.676,125,85,62.303
"Wetland",105.35,126.45,146.42,193.333,170,48.813
