"","n","share","degraded"
"Artificial",70,0.355,22.857
"Bare land",346,1.756,69.653
"Cropland",8785,44.583,50.996
"Forest",5645,28.648,4.198
"Grassland",4300,21.822,15.698
"Shrubland",446,2.263,18.834
"Water body",12,0.061,25
"Wetland",101,0.513,3.96
