"","means_OC","medians_OC","modes_OC","means_Clay","medians_Clay","modes_Clay"
"Artificial",28.7,23.9,19.7,151.2,110,74.5
"Bare land",16.6,10.1,7.9,217.3,210,208.1
"Cropland",17.6,14.4,11.7,222,210,182.8
"Forest",46.5,34.5,20,120,80,40.2
"Grassland",33.4,26.4,15.5,202.6,180,176.5
"Shrubland",38.4,28.1,17.7,186.5,170,70.6
"Water body",18.6,14.7,12.5,143.3,85,55.8
"Wetland",61.9,53.3,35.2,205.9,190,161.7
