"","FALSE","TRUE"
"Artificial",0.771,0.229
"Bare land",0.303,0.697
"Cropland",0.507,0.493
"Forest (Broadleaves)",0.896,0.104
"Forest (Conifer)",0.982,0.018
"Forest (Mixed)",0.979,0.021
"Grassland",0.843,0.157
"Orchards/Wineyards",0.298,0.702
"Shrubland",0.812,0.188
"Water body",0.75,0.25
"Wetland",0.96,0.04
